0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1631;-59.25;5.25;19;455;706;123;12;55;89;145;448;318;1597;433;7;44;227;6;28;27;22;130;1657;974;1062;505;0;67;307;33;2;21;260;598;427;967;969;478
1632;-58.75;5.25;22;1312;674;166;10;46;116;177;619;409;1765;480;11;191;192;6;14;17;31;195;972;905;1997;411;2;92;1061;41;3;34;392;1283;689;997;1688;342
1633;-58.25;5.25;9;849;814;55;7;157;30;385;812;621;1613;325;5;298;120;4;21;15;43;396;356;1405;1066;666;1;57;612;60;3;16;195;715;739;1363;2179;481
1634;-57.75;5.25;11;670;605;125;5;159;41;267;405;430;968;359;18;437;154;12;17;8;37;175;460;1186;817;946;1;53;686;64;2;10;124;1256;889;920;1703;428
1635;-57.25;5.25;24;539;884;193;7;101;84;250;1037;306;523;811;15;271;144;10;38;20;22;204;784;2082;998;699;2;108;349;122;2;47;136;837;807;1258;2281;599
1636;-56.75;5.25;14;784;1352;110;8;94;69;431;888;432;949;430;22;342;354;12;41;27;32;227;746;1602;730;610;0;72;522;109;4;18;291;642;606;2143;2729;503
1637;-56.25;5.25;15;634;1085;259;20;38;136;497;659;1099;2213;364;56;113;409;21;29;17;61;178;597;1349;850;316;1;173;672;148;3;10;206;585;707;1196;1705;449
1638;-55.75;5.25;15;242;1432;205;28;47;278;1059;1061;1196;1611;182;126;196;481;15;76;30;130;486;799;1292;750;603;3;173;307;168;1;28;299;639;743;1232;781;420
1639;-55.25;5.25;22;210;608;145;19;61;225;1783;1066;1718;1320;161;129;134;229;20;31;36;92;393;1356;1556;1472;730;0;77;640;64;1;27;485;927;929;1091;958;279
1640;-54.75;5.25;28;298;445;99;20;22;53;967;358;457;1432;308;21;168;88;12;10;13;57;182;877;1014;877;244;0;53;352;34;1;7;411;841;648;655;831;407
1641;-54.25;5.25;15;212;649;64;21;23;77;515;322;398;1063;344;25;138;86;10;13;18;39;263;987;550;638;270;1;81;351;26;5;8;324;800;699;1656;820;538
1642;-53.75;5.25;15;389;627;41;17;23;68;270;182;632;1208;468;12;259;153;10;8;12;48;196;956;695;1012;229;0;60;272;19;0;10;231;444;640;737;953;333
1643;-53.25;5.25;23;492;465;31;13;30;16;96;106;386;877;347;19;174;70;7;15;19;25;57;437;202;424;159;0;26;161;16;0;10;149;157;325;705;630;222
1644;-52.75;5.25;20;630;208;19;14;29;32;54;156;117;310;213;11;109;11;4;16;7;30;42;217;75;233;30;2;3;39;10;3;5;108;76;185;426;194;131
1645;-52.25;5.25;15;61;46;18;12;18;27;30;62;62;74;38;19;24;4;5;13;11;24;23;57;51;65;10;1;2;4;15;2;0;234;30;90;43;29;46
1646;-51.75;5.25;20;35;29;19;7;20;13;20;30;40;45;33;14;16;3;5;1;15;28;22;52;44;36;12;1;6;2;1;0;1;41;20;49;19;80;34
1647;-51.25;5.25;16;32;31;16;8;27;19;21;31;33;45;24;7;16;8;2;7;11;23;16;58;47;22;8;3;9;3;2;1;8;36;11;19;14;30;11
1648;-50.75;5.25;13;30;19;15;7;18;21;34;42;38;75;36;12;21;6;3;7;14;20;18;59;24;12;8;1;8;2;3;0;6;18;10;15;36;13;14
1649;-50.25;5.25;7;36;24;19;9;16;15;19;32;36;78;24;6;12;5;3;5;10;17;14;59;13;11;5;1;9;5;4;0;2;13;11;42;22;46;4
1650;-49.75;5.25;18;29;16;14;11;21;12;12;23;18;46;33;7;3;14;2;8;9;22;28;34;18;14;3;0;5;11;9;0;2;6;21;5;11;61;7
1651;-49.25;5.25;6;31;24;19;8;19;26;18;30;6;32;25;15;12;8;4;11;13;25;20;19;27;16;4;1;3;6;43;0;1;3;13;28;8;30;5
1652;-48.75;5.25;14;26;18;14;6;21;30;14;6;8;14;32;7;11;9;2;10;17;24;15;61;19;10;1;1;9;6;89;3;3;5;4;4;10;23;8
1653;-48.25;5.25;9;35;22;11;11;19;28;7;6;7;29;30;14;17;1;5;15;11;35;16;27;13;7;3;1;8;3;146;0;5;3;1;31;4;19;4
1654;-47.75;5.25;11;31;19;18;26;16;23;12;6;5;26;21;5;4;6;6;6;9;31;14;14;11;5;6;2;7;3;30;2;2;1;6;7;8;43;14
1655;-47.25;5.25;19;29;24;64;15;13;24;10;12;8;27;25;10;6;8;2;11;12;34;12;11;5;4;3;1;9;10;17;0;3;4;4;10;9;44;10
1656;-46.75;5.25;31;30;46;33;2;34;35;12;5;8;25;21;18;10;4;9;7;19;30;14;9;12;3;0;0;11;7;31;1;2;7;4;3;3;59;17
